Method_Type,Wavelet_Family,Wavelet,Algorithm,Features,Feature_Count,Feature_Extractor,Strategy,Training_Timesteps,Random_Seed,Alpha,Beta,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Win_Rate,Max_Loss,RoMaD,CAGR,Volatility,T_Statistic,P_Value,Total_Return,Best_Learning_Rate,Best_Gamma,Validation_Score
Reinforcement_Learning,Daubechies,db1,PPO,DIX,1,Advanced,Long-Only,50000,52994804,0.2624009491865843,-0.00913307179628716,0.7881370509201514,0.07094423755398617,0.3485530710515328,0.5260930888575458,-0.10297136420340786,0.7288514399529576,0.25404340773593526,0.3315094899107446,1.4221695977608853,0.15541741092880532,0.8923077294921875,0.0003,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,PPO,GEX,1,Advanced,Long-Only,50000,767816917,0.08936456261418017,-0.14419723727772563,0.2095457217257406,0.012750553450235774,0.33072813185455324,0.17912552891396333,-0.15228427589955296,0.10685798042948286,0.035340940241193275,0.34162545786052523,0.44936159203098613,0.6533083583110197,0.102800224609375,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,PPO,VIX,1,Advanced,Long-Only,50000,2337719661,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.99,1.031220388008539
Reinforcement_Learning,Daubechies,db1,PPO,DIX_GEX,2,Advanced,Long-Only,50000,2174482702,0.27287872007514985,-0.05289930584433092,0.7967041318239105,0.07264100825572029,0.33639395095444014,0.535966149506347,-0.09907100214959667,0.7706290722464195,0.25923495833332777,0.334323159859355,1.4356783714619652,0.15153552780359875,0.914462470703125,0.0003,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,PPO,DIX_VIX,2,Advanced,Long-Only,50000,3866960342,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,PPO,GEX_VIX,2,Advanced,Long-Only,50000,1813273966,0.11626599278734615,-0.12788813512710168,0.2973262991127531,0.018386702732049037,0.3458717730657726,0.19605077574047955,-0.14635706358399767,0.19305423167108546,0.06677200940592876,0.3380069989309177,0.5975466800299983,0.5503335149470969,0.19974970703125,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,PPO,DIX_GEX_VIX,3,Advanced,Long-Only,50000,2390189841,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,A2C,DIX,1,Advanced,Long-Only,50000,1689684778,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,A2C,GEX,1,Advanced,Long-Only,50000,3353991684,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,A2C,VIX,1,Advanced,Long-Only,50000,3126620198,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0003,0.95,1.3811295339487404
Reinforcement_Learning,Daubechies,db1,A2C,DIX_GEX,2,Advanced,Long-Only,50000,3787556158,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,A2C,DIX_VIX,2,Advanced,Long-Only,50000,1774210208,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,A2C,GEX_VIX,2,Advanced,Long-Only,50000,2966907935,0.2626021448573661,-0.05677680292935577,0.8027662659702911,0.06217643651092048,0.3150042740147125,0.3455571227080395,-0.10063119710203511,0.8010312423040568,0.25232826494509264,0.3184015234517988,1.450853592786653,0.1472635293561356,0.8850249462890625,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,A2C,DIX_GEX_VIX,3,Advanced,Long-Only,50000,86695889,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db1,DQN,DIX,1,Advanced,Long-Only,50000,3752258501,0.19068127254654943,0.01123957333922907,0.6369308653510332,0.046601202479259266,0.28929722520403095,0.3314527503526093,-0.12951806639343066,0.6277159643796663,0.1815964867113098,0.30155082109849995,1.1787697650887752,0.23888586379875804,0.6002177001953125,0.0001,0.95,0.7433550156722369
